epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,625,0.32598917276859285,0.22913280129432678,0.7543786764144897,0.22913280129432678,1,0,8
2,1250,0.19385679122209548,0.10378141701221466,0.888750433921814,0.10378141701221466,2,0,8
3,1875,0.09427321926355361,0.13891461491584778,0.8510890007019043,0.10378141701221466,2,1,8
4,2500,0.09215391829907894,0.08076069504022598,0.9134277105331421,0.08076069504022598,4,0,8
5,3125,0.07892159810066224,0.06382578611373901,0.9315812587738037,0.06382578611373901,5,0,8
6,3750,0.06036319161057472,0.05805439129471779,0.9377679824829102,0.05805439129471779,6,0,8
7,4375,0.07843440991342068,0.0790591761469841,0.9152516722679138,0.05805439129471779,6,1,8
8,5000,0.056467962566018104,0.054930467158555984,0.9411166906356812,0.054930467158555984,8,0,8
9,5625,0.04792568328380585,0.05272296443581581,0.9434830546379089,0.05272296443581581,9,0,8
10,6250,0.045587035164237025,0.07109637558460236,0.9237874746322632,0.05272296443581581,9,1,8
11,6875,0.04790700491666794,0.07564474642276764,0.9189118146896362,0.05272296443581581,9,2,8
12,7500,0.04665274508595467,0.038179319351911545,0.9590733051300049,0.038179319351911545,12,0,8
13,8125,0.04243373143672943,0.04751056432723999,0.9490705728530884,0.038179319351911545,12,1,8
14,8750,0.04983231443166733,0.05676894262433052,0.9391459226608276,0.038179319351911545,12,2,8
15,9375,0.03946014629304409,0.0441167950630188,0.9527085423469543,0.038179319351911545,12,3,8
16,10000,0.05187845034301281,0.049147650599479675,0.9473156929016113,0.038179319351911545,12,4,8
17,10625,0.03753152626156807,0.04137805849313736,0.9556443691253662,0.038179319351911545,12,5,8
18,11250,0.04102916986942291,0.07590973377227783,0.9186277985572815,0.038179319351911545,12,6,8
19,11875,0.03642799002528191,0.04245550557971001,0.9544893503189087,0.038179319351911545,12,7,8
