epoch,global_step,train_loss,val_loss,val_r2,best_val_loss,best_epoch,patience_used,patience_limit
1,1250,0.33603054418563844,0.14962536096572876,0.8396075367927551,0.14962536096572876,1,0,8
2,2500,0.13614333061873912,0.1138681024312973,0.877937912940979,0.1138681024312973,2,0,8
3,3750,0.09969265110492706,0.10549434274435043,0.8869142532348633,0.10549434274435043,3,0,8
4,5000,0.08250879315286874,0.07653981447219849,0.9179523587226868,0.07653981447219849,4,0,8
5,6250,0.0759513621225953,0.07863781601190567,0.9157033562660217,0.07653981447219849,4,1,8
6,7500,0.06170727531015873,0.07088673859834671,0.9240122437477112,0.07088673859834671,6,0,8
7,8750,0.05850441163927317,0.07319677621126175,0.9215359687805176,0.07088673859834671,6,1,8
8,10000,0.0503822334587574,0.05259766802191734,0.9436174035072327,0.05259766802191734,8,0,8
9,11250,0.04851908289268613,0.048440463840961456,0.9480737447738647,0.048440463840961456,9,0,8
10,12500,0.044198533956706525,0.0737537145614624,0.9209389686584473,0.048440463840961456,9,1,8
11,13750,0.04139316753596067,0.05083427578210831,0.9455076456069946,0.048440463840961456,9,2,8
12,15000,0.041342436084151266,0.0455925390124321,0.9511265754699707,0.0455925390124321,12,0,8
13,16250,0.039878439861536025,0.04897265136241913,0.9475032687187195,0.0455925390124321,12,1,8
14,17500,0.03626219656094909,0.04058361053466797,0.956496000289917,0.04058361053466797,14,0,8
15,18750,0.03398913726136089,0.04570123925805092,0.9510101079940796,0.04058361053466797,14,1,8
16,20000,0.034463104689866304,0.04721005633473396,0.9493926763534546,0.04058361053466797,14,2,8
17,21250,0.03285130946263671,0.044518500566482544,0.9522778987884521,0.04058361053466797,14,3,8
18,22500,0.03129515460655093,0.03866942226886749,0.9585478901863098,0.03866942226886749,18,0,8
19,23750,0.030813053143024443,0.039997704327106476,0.9571240544319153,0.03866942226886749,18,1,8
20,25000,0.030850876463204623,0.04252195358276367,0.9544181227684021,0.03866942226886749,18,2,8
21,26250,0.02868971529826522,0.041847020387649536,0.9551416635513306,0.03866942226886749,18,3,8
22,27500,0.028606452640146017,0.04086492210626602,0.9561944007873535,0.03866942226886749,18,4,8
23,28750,0.028702740033715965,0.03737102076411247,0.95993971824646,0.03737102076411247,23,0,8
24,30000,0.02699276133365929,0.040647491812705994,0.9564275145530701,0.03737102076411247,23,1,8
25,31250,0.02649134217724204,0.04436470568180084,0.9524427652359009,0.03737102076411247,23,2,8
26,32500,0.02596926441192627,0.03529692441225052,0.9621630907058716,0.03529692441225052,26,0,8
27,33750,0.02633941705711186,0.0360366627573967,0.9613701105117798,0.03529692441225052,26,1,8
28,35000,0.02563577538356185,0.037911418825387955,0.9593604803085327,0.03529692441225052,26,2,8
29,36250,0.02386309710405767,0.05601923540234566,0.9399495720863342,0.03529692441225052,26,3,8
30,37500,0.0249500187497586,0.043765995651483536,0.9530845880508423,0.03529692441225052,26,4,8
31,38750,0.02711545986458659,0.033728111535310745,0.9638447761535645,0.033728111535310745,31,0,8
32,40000,0.023605170738697053,0.04129916429519653,0.9557289481163025,0.033728111535310745,31,1,8
33,41250,0.02281051149368286,0.04581853374838829,0.9508843421936035,0.033728111535310745,31,2,8
34,42500,0.023424545488879085,0.03849503770470619,0.9587348699569702,0.033728111535310745,31,3,8
35,43750,0.020787173926457764,0.03692132979631424,0.9604218006134033,0.033728111535310745,31,4,8
36,45000,0.023622633184865117,0.04507504776120186,0.9516813158988953,0.033728111535310745,31,5,8
37,46250,0.022690486896783112,0.03335241600871086,0.9642475247383118,0.03335241600871086,37,0,8
38,47500,0.02131449734605849,0.03655803203582764,0.9608112573623657,0.03335241600871086,37,1,8
39,48750,0.021186809625849127,0.034468282014131546,0.9630513787269592,0.03335241600871086,37,2,8
40,50000,0.021475873535126446,0.03930149972438812,0.957870364189148,0.03335241600871086,37,3,8
41,51250,0.02160994930230081,0.03635013848543167,0.9610340595245361,0.03335241600871086,37,4,8
42,52500,0.021376051323860883,0.0305599607527256,0.9672409296035767,0.0305599607527256,42,0,8
43,53750,0.020464154663309454,0.03664594143629074,0.9607170224189758,0.0305599607527256,42,1,8
44,55000,0.02019330220334232,0.034790605306625366,0.9627058506011963,0.0305599607527256,42,2,8
45,56250,0.021101687341928483,0.03437728062272072,0.9631488919258118,0.0305599607527256,42,3,8
46,57500,0.01927497854977846,0.031405575573444366,0.9663344621658325,0.0305599607527256,42,4,8
47,58750,0.019502250627800824,0.029509447515010834,0.9683670401573181,0.029509447515010834,47,0,8
48,60000,0.020260074927657842,0.03532877191901207,0.9621289372444153,0.029509447515010834,47,1,8
49,61250,0.01886780526712537,0.03002658300101757,0.967812716960907,0.029509447515010834,47,2,8
50,62500,0.01855901812389493,0.031192226335406303,0.9665631651878357,0.029509447515010834,47,3,8
